,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
47,Grand Forks,47.94,-97.43,275.15,59,75,6.7
48,Pisco,-13.7,-76.22,291.15,77,0,8.7
49,Souillac,-20.52,57.52,294.26,80,0,0.89
50,Hilo,19.73,-155.09,300.15,78,90,3.64
51,Mahanoro,-19.9,48.8,293.66,87,66,1.47
52,Arrondissement de Libourne,44.92,-0.25,287.15,93,90,4.6
53,Margate,51.38,1.39,283.71,82,15,0.89
54,New Norfolk,-42.78,147.06,287.59,66,79,1.77
55,Raja,8.46,25.68,296.44,76,84,0.96
56,Qaanaaq,77.48,-69.36,261.4,79,94,6.03
57,Hirara,24.8,125.28,298.15,78,40,5.1
58,George Town,5.41,100.34,298.15,94,20,1.5
59,Husavik,66.04,-17.34,276.15,59,90,1.5
60,Kruisfontein,-34.0,24.73,288.15,95,29,3.83
61,Pevek,69.7,170.31,266.41,97,100,5.34
62,Ballina,-28.87,153.57,295.15,83,90,3.1
63,Airai,-8.93,125.41,294.42,75,27,1.14
64,Arraial do Cabo,-22.97,-42.03,296.15,94,0,5.7
65,Natá,8.33,-80.52,299.26,77,91,1.28
66,Prince Rupert,54.32,-130.32,282.15,93,90,1.0
67,Portage,41.17,-81.2,279.82,93,1,2.1
68,Jamestown,42.1,-79.24,278.15,100,90,0.47
69,Narsaq,60.92,-46.05,271.89,97,100,1.34
70,Dalvik,65.97,-18.53,276.15,59,90,1.5
71,Port Augusta,-32.5,137.77,290.15,72,0,3.1
72,Kavieng,-2.57,150.8,302.45,65,92,1.14
73,Yumen,40.28,97.2,274.64,79,73,3.09
74,Lagoa,39.05,-27.98,290.14,61,100,2.84
75,Fairbanks,64.84,-147.72,271.48,86,75,2.1
76,Mataura,-46.19,168.86,287.59,67,4,1.34
77,Esperance,-33.87,121.9,290.15,100,66,4.6
78,San Carlos,9.66,-68.58,297.0,91,50,1.31
79,Rāwatbhāta,24.93,75.58,292.58,26,0,0.53
80,Punta Arenas,-53.15,-70.92,281.15,61,0,7.2
81,Merauke,-8.47,140.33,301.08,67,100,4.52
82,Barrow,71.29,-156.79,272.15,63,75,8.7
83,Hermanus,-34.42,19.23,289.26,93,100,0.45
84,Noumea,-22.28,166.46,303.15,37,0,2.6
85,Mapiri,-15.25,-68.17,296.14,65,78,0.51
86,Iqaluit,63.75,-68.51,266.15,73,90,1.5
87,Campbellsville,37.34,-85.34,289.26,93,90,3.55
88,Davenda,53.56,119.32,266.53,89,0,1.42
89,Tromsø,69.65,18.96,275.15,80,75,3.1
90,Great Falls,47.5,-111.3,279.15,56,1,11.8
91,Sheltozero,61.37,35.37,282.21,86,100,5.94
92,Lichuan,30.3,108.85,282.78,96,100,1.04
93,Port Elizabeth,-33.92,25.57,290.15,88,0,9.3
94,Saint-Philippe,-21.36,55.77,295.15,64,0,1.5
95,Pryazha,61.69,33.62,284.15,87,100,4.0
96,Nhamundá,-2.19,-56.71,300.93,70,99,0.59
97,Levelland,33.59,-102.38,271.15,92,90,5.7
98,Korla,41.76,86.15,277.04,93,0,2.06
99,Qeshm,26.96,56.27,294.15,77,0,3.1
100,Taman',45.21,36.72,282.15,81,0,2.0
101,Jieshi,22.81,115.83,297.59,73,67,0.45
102,Meulaboh,4.14,96.13,297.37,87,59,1.9
103,San Patricio,28.02,-97.52,286.15,82,90,6.2
104,Fare,-16.7,-151.02,300.05,81,76,8.48
105,Xichang,27.9,102.26,289.58,77,89,0.36
106,Shitkino,56.37,98.35,274.94,86,100,3.78
107,Lüderitz,-26.65,15.16,287.18,78,13,4.46
108,Correntina,-13.34,-44.64,295.26,86,96,2.57
109,São Filipe,14.9,-24.5,300.37,72,100,2.29
110,Alpignano,45.1,7.53,283.71,76,0,2.6
111,Kudahuvadhoo,2.67,72.89,300.98,78,64,6.62
112,Keïta,14.76,5.77,298.15,29,0,1.0
113,Kroya,-7.63,109.25,289.82,86,96,1.61
114,Ushumun,52.78,126.53,269.24,97,98,4.02
115,Valparaíso,-33.04,-71.63,287.15,76,0,2.6
116,Waipawa,-41.41,175.52,288.71,72,100,5.7
117,Tautira,-17.73,-149.15,301.15,78,75,8.7
118,Baghlan,36.13,68.71,282.33,50,94,0.6
119,Saint-Pierre,-21.34,55.48,295.15,64,0,1.5
120,Asău,46.43,26.4,283.15,98,0,0.77
121,North Platte,41.12,-100.77,277.15,41,1,3.6
122,Baghdad,33.34,44.4,289.15,41,0,3.1
123,Peleduy,59.63,112.74,262.09,91,72,1.08
124,Butaritari,3.07,172.79,300.36,66,98,1.98
125,Alofi,-19.06,-169.92,298.15,73,40,9.8
126,Tasiilaq,65.61,-37.64,269.64,91,100,4.22
127,Geraldton,-28.77,114.6,293.15,60,90,7.7
128,Tessalit,20.2,1.01,298.51,18,0,3.93
129,Borogontsy,62.67,131.17,257.59,93,100,1.49
130,Mizdah,31.45,12.98,286.26,84,0,3.31
131,College,64.86,-147.8,271.48,86,75,2.1
132,Tailai,46.38,123.4,274.19,76,0,5.3
133,Nānākuli,21.39,-158.15,301.15,69,1,2.83
134,Vila Franca do Campo,37.72,-25.43,291.15,59,75,2.6
135,Hervey Bay,-25.3,152.85,299.26,78,90,4.6
136,Iporá,-16.44,-51.12,296.92,82,67,1.54
137,Egvekinot,66.32,-179.17,266.23,93,98,1.13
138,Chokurdakh,70.63,147.92,262.22,97,100,1.26
139,La Asuncion,11.03,-63.86,295.15,100,32,7.2
140,Krasnoborsk,61.56,45.93,277.25,93,100,3.1
141,Griffith,41.53,-87.42,276.48,100,90,1.88
142,Saint Paul Harbor,57.79,-152.41,281.15,68,40,3.1
143,Vaini,-21.2,-175.2,296.06,76,4,12.1
144,Mossamedes,-15.2,12.15,294.96,77,70,1.94
145,Mananjary,-21.22,48.33,293.62,93,20,1.98
146,Singkang,2.1,102.8,297.15,94,20,1.0
147,Zhanjiang,21.28,110.34,296.43,79,84,4.88
148,Dauphin,51.15,-100.05,276.15,87,90,3.1
149,Smirnykh,49.75,142.83,277.54,74,11,0.35
150,Karlskoga,59.33,14.52,281.48,81,80,5.7
151,Bredasdorp,-34.53,20.04,290.15,82,100,2.1
152,Yangi Marg`ilon,40.43,71.72,284.15,41,98,2.12
153,Yuncheng,35.02,110.99,283.31,85,100,0.87
154,Mabai,23.01,104.45,288.05,100,98,1.25
155,Ancud,-41.87,-73.82,282.04,93,90,6.7
156,Labuhan,-6.88,112.21,300.18,80,100,3.82
157,Imbituba,-28.24,-48.67,293.15,88,20,2.6
158,Norman Wells,65.28,-126.83,266.15,79,40,2.1
159,Baiyin,36.56,104.21,277.04,93,90,3.0
160,Linxi,39.7,118.43,282.83,38,98,1.8
161,Terrace,54.52,-128.6,283.15,87,90,5.1
162,Oranjemund,-28.55,16.43,286.82,89,21,1.64
163,Lesnyye Polyany,55.97,37.87,280.93,87,0,5.0
164,Abhā,18.22,42.51,286.15,26,0,3.39
165,Touros,-5.2,-35.46,299.15,83,40,4.1
166,Kaitangata,-46.28,169.85,285.91,56,2,2.98
167,Yeppoon,-23.13,150.73,300.15,61,10,0.5
168,Bluff,-46.6,168.33,287.59,67,10,1.34
169,Antofagasta,-23.65,-70.4,289.15,77,75,6.7
170,Coruripe,-10.13,-36.18,297.72,84,99,5.64
171,Banda Aceh,5.56,95.32,299.75,73,87,5.75
172,Biloela,-24.42,150.5,300.94,49,20,5.55
173,Jumla,29.27,82.18,278.72,50,0,2.29
174,Xining,36.62,101.77,271.92,94,37,0.57
175,Ahtopol,42.1,27.95,288.71,93,40,3.1
176,Bambous Virieux,-20.34,57.76,294.26,80,4,0.89
177,Bonfim,3.08,-59.95,302.59,58,51,3.57
178,Seoul,37.57,126.98,283.15,100,100,1.0
179,San Cristobal,7.77,-72.22,293.31,91,95,0.22
180,Ubaíra,-13.27,-39.66,295.22,91,100,1.46
181,Saint George,37.1,-113.58,289.15,9,1,3.1
182,Ilulissat,69.22,-51.1,259.16,90,60,1.36
183,Stulovo,58.72,50.14,272.14,95,73,3.78
184,Tyup,42.73,78.36,278.76,59,100,2.47
185,Cayenne,4.93,-52.33,301.15,78,0,2.1
186,Lompoc,34.64,-120.46,294.15,40,1,4.6
187,Stockelsdorf,53.89,10.63,283.15,77,94,3.58
188,Cidreira,-30.18,-50.21,290.86,84,98,5.22
189,Vila Velha,-20.33,-40.29,298.15,88,75,5.7
190,Waingapu,-9.66,120.26,301.8,65,96,3.89
191,Nouadhibou,20.93,-17.03,297.15,60,100,8.2
192,Okhotsk,59.38,143.3,271.83,82,1,3.5
193,Guerrero Negro,27.98,-114.06,295.24,22,0,10.14
194,Havøysund,71.0,24.66,273.15,76,0,5.1
195,Rio das Ostras,-22.53,-41.95,296.15,94,0,5.7
196,Vostok,46.49,135.88,274.3,91,97,0.67
197,Río Gallegos,-51.62,-69.22,284.15,29,75,4.6
198,San Juan,-31.54,-68.54,296.75,21,45,9.44
199,Soe,-9.86,124.28,298.53,67,61,1.58
200,Tsimmerbude,54.67,20.13,282.15,93,20,3.0
201,Daman,20.42,72.85,298.47,54,0,2.34
202,Haines Junction,60.75,-137.51,272.48,93,48,1.17
203,Mound,44.94,-93.67,273.15,66,66,0.45
204,Olafsvik,64.89,-23.71,277.1,71,96,8.04
205,Coţuşca,48.13,26.85,284.82,90,0,2.13
206,Caconda,-13.73,15.07,289.68,89,22,3.55
207,Sambava,-14.27,50.17,294.72,87,6,3.34
208,Daru,-9.08,143.21,298.76,88,100,3.41
209,Poconé,-16.26,-56.62,298.99,83,81,1.79
210,Nanortalik,60.14,-45.24,272.27,90,100,1.9
211,Cabra,37.47,-4.44,283.15,87,0,1.21
212,Sotnikovo,51.88,107.48,263.15,85,34,1.0
213,Grafton,42.21,-71.69,282.59,70,90,0.75
214,Shingū,33.73,135.98,290.15,63,40,2.6
215,Aden,12.78,45.04,300.35,63,0,4.63
216,Alginet,39.27,-0.47,290.37,48,95,2.68
217,Karratha,-20.74,116.85,298.05,68,60,3.58
218,Nadym,65.53,72.52,256.1,90,0,2.77
219,Tinskoy,56.15,96.92,274.98,85,100,2.72
220,Clyde River,70.47,-68.59,262.15,66,20,3.1
221,Namatanai,-3.67,152.43,303.2,65,74,0.84
222,Hofn,64.25,-15.21,276.63,81,100,9.52
223,Dingle,11.0,122.67,300.52,80,81,0.74
224,Najrān,17.49,44.13,289.15,25,0,2.1
225,Songjianghe,42.19,127.48,275.47,71,0,3.5
226,Ormara,25.21,64.64,297.14,55,0,4.01
227,Yulara,-25.24,130.99,297.15,17,0,3.1
228,Dosso,13.05,3.19,299.4,17,1,2.71
229,Salalah,17.02,54.09,298.15,69,20,1.0
230,Bagdarin,54.43,113.6,264.34,84,61,0.45
231,Cap Malheureux,-19.98,57.61,294.26,80,0,0.89
232,Paita,-5.09,-81.11,291.32,85,8,6.32
233,Port Blair,11.67,92.75,299.53,79,69,1.37
234,Vizinga,61.07,50.1,274.76,93,100,3.77
235,Coari,-4.08,-63.14,298.93,84,99,1.05
236,Ponta do Sol,32.67,-17.1,292.15,68,40,2.1
237,Bherāmāra,24.02,88.99,294.57,57,0,2.44
238,Lorengau,-2.02,147.27,303.08,63,94,0.74
239,Santa Lucía,27.91,-15.54,295.15,60,75,7.2
240,Machaneng,-23.19,27.49,296.58,39,0,4.17
241,Jos,9.92,8.9,292.03,41,19,0.59
242,Broome,42.25,-75.83,281.48,75,90,2.09
243,Te Anau,-45.42,167.72,287.38,53,99,0.95
244,Ankazoabo,-22.28,44.52,295.28,59,0,2.77
245,Lata,40.16,-8.33,289.26,98,100,1.34
246,Deer Lake,49.17,-57.43,274.15,93,90,1.0
247,Fortuna,40.6,-124.16,290.37,48,1,4.6
248,Beloha,-25.17,45.05,294.24,85,18,6.14
249,Kamaishi,39.27,141.88,280.15,93,40,2.1
250,Alice Springs,-23.7,133.88,297.15,14,0,3.1
251,La Santisima Trinidad,-14.83,-64.9,301.15,69,40,3.1
252,Columbia,34.0,-81.03,296.15,78,1,0.93
253,Tura,25.52,90.22,293.27,86,0,1.82
254,Keminmaa,65.86,24.82,280.15,100,90,6.2
255,La Malbaie,47.66,-70.16,272.59,66,86,4.47
256,Diego de Almagro,-26.37,-70.05,285.42,58,0,0.68
257,Bucerías,20.75,-105.33,303.15,74,40,4.6
258,Constitución,-35.33,-72.42,282.94,76,7,3.53
259,Sarichioi,44.95,28.85,286.15,93,4,0.5
260,Moyale,3.52,39.06,293.23,83,30,1.8
261,Lake Cowichan,48.83,-124.05,282.59,87,90,2.6
262,Provideniya,64.38,-173.3,273.15,95,90,5.0
263,Kosa,59.94,55.0,273.22,95,98,3.47
264,Bela Cruz,-3.05,-40.17,297.61,84,76,2.84
265,Tiksi,71.69,128.87,253.81,90,18,5.68
266,Jaisalmer,26.91,70.92,296.33,21,0,4.8
267,General Roca,-39.03,-67.58,290.15,25,0,5.7
268,San Miguel de Tucumán,-26.82,-65.22,304.15,29,0,7.2
269,Sitka,57.05,-135.33,281.15,81,90,3.1
270,Porto Walter,-8.27,-72.74,302.01,60,99,1.12
271,Barbastro,42.04,0.13,283.15,76,0,3.1
272,Itambacuri,-18.03,-41.69,295.89,88,70,2.33
273,Port Hardy,50.7,-127.42,282.15,93,90,2.6
274,Lázaro Cárdenas,17.96,-102.2,301.15,82,67,4.33
275,Sechura,-5.56,-80.82,293.37,73,43,6.78
276,Sherghāti,24.57,84.78,291.67,55,0,1.69
277,Havelock,34.88,-76.9,293.15,88,40,2.6
278,Juegang,32.32,121.19,292.04,1,100,3.53
279,Ol'ga,43.74,135.29,281.0,74,80,1.19
280,Santiago de Cuba,20.02,-75.82,302.15,79,20,1.5
281,Hirado,33.36,129.55,292.59,87,0,2.6
282,Safi,32.3,-9.24,289.85,70,0,7.7
283,Kota,25.18,75.83,293.31,25,0,0.96
284,George Town,5.41,100.34,298.15,94,20,1.5
285,Bubaque,11.28,-15.83,301.11,81,44,4.94
286,Jiuquan,39.74,98.52,274.81,79,45,1.94
287,Lodja,-3.48,23.43,293.69,95,100,0.35
288,Angoram,-4.06,144.07,304.33,64,100,0.86
289,Aliwal North,-30.69,26.71,290.18,61,57,1.49
290,Kumul,42.8,93.45,279.15,52,0,3.73
291,Reconquista,-29.15,-59.65,292.06,73,0,3.01
292,Arkhara,49.42,130.08,275.11,81,77,1.74
293,Qala,40.44,50.17,284.15,93,0,2.1
294,Kungurtug,50.6,97.52,269.67,81,72,1.54
295,Yanaul,56.27,54.93,271.58,93,83,3.24
296,Mayo,38.89,-76.51,289.15,82,90,2.21
297,Saskylakh,71.92,114.08,258.26,92,98,4.7
298,Bariloche,-41.15,-71.31,278.15,85,75,9.8
299,Ashington,50.93,-0.39,283.15,3,29,2.68
300,Corvallis,44.56,-123.26,289.26,55,1,5.1
301,La Ronge,55.1,-105.28,270.15,92,90,4.1
302,Paamiut,61.99,-49.67,270.75,84,80,7.88
303,Kaeo,-35.1,173.78,293.06,71,83,2.26
304,Port Lincoln,-34.73,135.87,289.98,62,0,3.24
305,Assiut,27.18,31.18,293.15,77,0,2.6
306,Dikson,73.51,80.55,258.73,95,100,7.73
307,Abū Zabad,12.35,29.25,300.18,26,0,3.98
308,Garoowe,8.41,48.48,295.67,69,8,2.88
309,Winslow,35.02,-110.7,280.15,30,75,2.44
310,Chenzhou,25.8,113.03,290.36,78,38,1.5
311,Nishihara,26.18,127.76,299.15,61,20,4.6
312,Aberystwyth,52.42,-4.08,279.82,93,61,9.42
313,Tuktoyaktuk,69.45,-133.04,263.15,85,90,6.2
314,Viedma,-40.81,-63.0,290.0,25,27,5.71
315,Vieste,41.88,16.18,285.93,85,100,2.92
316,Oleksandrivka,46.84,32.76,284.26,76,0,3.86
317,Sobolevo,54.43,31.9,279.53,85,11,4.31
318,Hualmay,-11.1,-77.61,290.75,86,78,3.23
319,Rawson,-43.3,-65.1,288.46,32,83,4.55
320,Helong,42.54,129.0,278.0,58,0,4.56
321,Kharp,66.8,65.81,258.8,93,98,1.44
322,Colombia,20.99,-77.43,300.15,83,82,4.6
323,Sandy Bay,-42.91,147.35,287.59,66,75,4.1
324,Fukuechō,32.69,128.84,291.15,82,75,1.5
325,Los Llanos de Aridane,28.66,-17.92,294.15,68,90,4.6
326,San Joaquin,37.93,-121.3,296.15,23,90,2.1
327,Hobyo,5.35,48.53,299.19,81,10,3.68
328,Esim,4.87,-2.24,298.93,86,100,3.0
329,Sinegor'ye,62.08,150.48,266.69,82,3,0.93
330,Tabas,33.6,56.92,288.15,26,0,1.0
331,Yanam,16.73,82.22,296.42,74,64,1.64
332,Mehamn,71.04,27.85,275.61,82,100,2.31
333,Chul'man,56.85,124.91,260.63,94,99,2.22
334,Kinsale,51.71,-8.53,279.82,87,40,6.2
335,Thompson,55.74,-97.86,269.15,62,75,3.6
336,Calabar,4.95,8.32,297.16,94,100,0.17
337,Bolobo,-2.17,16.23,296.12,95,100,1.09
338,Sokolo,14.73,-6.12,301.04,15,62,4.24
339,Pilikwe,-22.8,27.19,295.94,38,0,4.86
340,Thinadhoo,0.53,72.93,301.65,68,68,4.57
341,Katsuura,35.13,140.3,291.48,72,75,2.6
342,Srednekolymsk,67.45,153.68,263.89,89,99,2.89
343,Vao,-22.67,167.48,296.04,82,88,8.43
344,Deputatsky,69.3,139.9,255.48,93,64,2.55
345,Nagua,19.38,-69.85,299.15,94,20,2.1
346,Santa Rita do Sapucaí,-22.25,-45.7,292.17,84,19,0.3
347,Cabo Rojo,18.09,-67.15,300.93,90,66,4.96
348,Robertsport,6.75,-11.37,300.26,83,100,4.41
349,Shorewood,41.52,-88.2,276.15,80,90,1.75
350,San Quintín,30.48,-115.95,293.62,32,0,5.37
351,Snåase,64.25,12.38,277.01,81,95,1.55
352,Rāikot,30.65,75.6,289.38,31,0,1.02
353,South Yuba City,39.12,-121.64,300.93,19,1,3.1
354,Torbay,47.67,-52.73,277.15,100,90,5.7
355,Novato,38.11,-122.57,297.15,25,20,4.6
356,Barabinsk,55.36,78.36,272.81,97,87,5.48
357,Byron Bay,-28.65,153.62,295.37,83,90,3.1
358,Sørkjosen,69.8,20.93,274.97,80,97,2.72
359,Biak,-0.91,122.88,301.27,67,99,1.67
360,Mendeleyevsk,55.91,52.29,269.15,85,0,4.0
361,Goderich,43.75,-81.72,279.26,78,100,4.82
362,Edéia,-17.34,-49.93,297.46,80,73,1.23
363,Harboøre,56.62,8.18,283.15,50,88,3.13
364,Atambua,-9.11,124.89,300.96,64,59,0.71
365,Stornoway,58.21,-6.39,279.15,93,100,1.0
366,Tsagan Aman,47.56,46.72,276.48,67,85,5.65
367,Savannakhet,16.57,104.75,294.73,83,100,4.36
368,Gemeente Wageningen,51.97,5.67,285.37,84,93,5.22
369,Kemijärvi,66.71,27.43,277.47,94,100,3.53
370,Altamont,42.21,-121.74,292.59,22,1,2.6
371,Harrismith,-28.27,29.13,288.12,72,49,1.32
372,Tianpeng,30.99,103.94,289.82,1,95,1.88
373,Qasigiannguit,68.82,-51.19,258.57,92,67,1.03
374,Oddur,4.12,43.89,295.56,86,84,5.62
375,Inhambane,-23.86,35.38,295.39,89,17,3.43
376,Saint Anthony,45.02,-93.22,273.15,65,73,2.24
377,Baoshan,46.56,131.42,276.89,70,23,4.07
378,Bilma,18.69,12.92,293.8,24,0,1.61
379,Chui,-33.7,-53.46,289.9,95,100,6.36
380,Manggar,-2.88,108.27,300.2,80,100,2.36
381,Tirumullaivāsal,11.23,79.83,298.6,83,0,4.18
382,San Luis,-33.3,-66.34,293.24,34,2,4.06
383,Pangnirtung,66.15,-65.71,260.09,76,0,1.74
384,Horsham,51.06,-0.33,283.15,87,0,3.1
385,Bodaybo,57.85,114.19,262.39,89,95,0.82
386,Tibati,6.47,12.63,292.34,70,47,0.73
387,San Vicente,-26.62,-54.13,288.76,72,0,0.32
388,Takoradze,4.88,-1.76,298.73,87,100,3.13
389,Oppdal,62.59,9.69,272.48,92,30,3.79
390,Klaksvík,62.23,-6.59,281.3,86,92,10.23
391,Kinkala,-4.36,14.76,295.72,93,99,2.62
392,Magangué,9.24,-74.75,299.67,83,15,1.16
393,Simao,22.79,100.97,289.75,86,61,0.73
394,Ondangwa,-17.92,15.95,302.15,16,82,3.1
395,Bedēsa,8.9,40.78,288.27,34,2,0.51
396,Valls,41.29,1.25,287.04,71,0,1.0
397,Hamilton,39.18,-84.53,283.71,87,90,1.78
398,Moussoro,13.64,16.49,301.17,17,36,4.85
399,Khodz',44.51,40.71,287.72,50,84,1.66
400,Saldanha,-33.01,17.94,288.15,87,100,1.0
401,Chodavaram,17.83,82.95,295.75,62,94,1.16
402,Rio Largo,-9.48,-35.85,298.15,83,40,3.1
403,Kabare,-2.47,28.82,289.82,85,92,0.69
404,Gold Coast,-28.0,153.43,298.15,69,75,2.6
405,Sept-Îles,50.2,-66.38,270.93,73,20,3.6
406,Thika,-1.03,37.07,287.59,87,90,4.02
407,Gazli,40.13,63.45,275.28,75,8,3.9
408,Balatonszárszó,46.83,17.82,284.26,89,59,0.89
409,Port Macquarie,-31.43,152.92,295.37,61,71,0.89
410,Blackwater,-23.58,148.88,301.13,48,0,4.95
411,Moranbah,-22.0,148.05,300.96,49,3,5.24
412,Macaúbas,-13.02,-42.7,295.05,85,99,3.0
413,Banjar,-8.19,114.97,299.15,78,20,1.0
414,Saint-Joseph,-21.37,55.62,295.15,64,0,1.5
415,Dalbandin,28.89,64.41,285.61,32,0,1.54
416,Sānchor,24.76,71.77,294.77,23,0,1.13
417,Bay Roberts,47.6,-53.26,278.15,100,90,5.7
418,Visby,57.64,18.3,283.71,93,61,4.6
419,Puerto Cabezas,14.04,-83.39,300.15,94,40,2.1
420,Ushtobe,45.25,77.98,276.34,76,100,5.91
421,Ereymentau,51.62,73.1,270.27,97,49,8.66
422,Zhangye,38.93,100.45,275.38,79,37,1.05
423,Żurrieq,35.83,14.47,290.93,66,0,8.05
424,Wamba,8.93,8.6,295.94,54,0,1.75
425,Bida,9.08,6.02,298.44,53,9,0.92
426,Kloulklubed,7.04,134.26,301.15,83,75,1.5
427,Southwick,42.05,-72.77,284.15,81,90,1.25
428,Corat,40.57,49.71,284.15,93,0,2.1
429,Cabo San Lucas,22.89,-109.91,300.15,57,40,4.1
430,Khovd,48.01,91.64,271.64,77,46,0.76
431,Sistranda,63.73,8.83,278.15,93,0,3.6
432,Verkhoyansk,67.54,133.38,257.81,92,84,1.1
433,Athabasca,54.72,-113.29,276.15,79,62,5.67
434,Tongchuanshi,35.08,109.09,281.19,74,100,0.91
435,Naze,28.37,129.48,298.15,69,75,4.6
436,Vidalia,32.22,-82.41,299.15,61,90,2.1
437,Kiryat Gat,31.61,34.76,297.59,100,56,1.99
438,Maniitsoq,65.42,-52.9,266.91,87,9,3.16
439,Acoyapa,11.97,-85.17,303.15,74,75,4.1
440,Dzhida,50.68,106.18,269.78,90,7,1.47
441,Bolivar,37.61,-93.41,276.48,94,98,3.74
442,Edd,13.93,41.69,300.62,45,0,6.29
443,Srīvardhan,18.03,73.02,298.34,78,10,2.25
444,Cairns,-16.92,145.77,302.15,58,20,4.1
445,Mahajanga,-15.72,46.32,296.15,73,20,1.0
446,Severnyy,50.68,36.55,277.15,80,0,4.0
447,Marsaxlokk,35.84,14.54,290.93,66,0,8.05
448,Zhezkazgan,47.8,67.71,271.6,93,73,4.63
449,Santa Cruz,30.42,-9.6,288.15,87,0,2.1
450,Omboué,-1.57,9.26,298.09,86,100,1.6
451,Batagay-Alyta,67.8,130.41,255.89,82,24,1.64
452,Careiro da Várzea,-3.2,-59.81,298.15,100,75,1.7
453,Neuquén,-38.95,-68.06,290.15,25,0,5.7
454,Panabá,21.28,-88.27,298.31,92,98,4.52
455,Liverpool,53.41,-2.98,282.59,87,40,5.7
456,Gazojak,41.19,61.4,274.08,86,0,3.15
457,Davila,18.47,120.58,300.15,94,75,1.5
458,Kobayashi,31.98,130.98,290.15,100,75,1.5
459,Ilām,26.92,87.92,286.99,79,0,2.18
460,Umm Kaddadah,13.6,26.69,301.16,20,0,6.92
461,Olinda,-8.01,-34.86,300.15,69,75,3.6
462,Sioux Lookout,50.1,-91.92,270.15,86,90,6.2
463,Aksarka,66.56,67.8,258.15,93,95,2.61
464,Pochinki,54.7,44.87,273.75,90,100,3.62
465,Skellefteå,64.75,20.95,278.15,100,84,2.1
466,Zhigansk,66.77,123.37,251.48,91,85,1.52
467,Raudeberg,61.99,5.14,280.93,79,89,5.14
468,Ampanihy,-24.7,44.75,293.91,85,4,4.5
469,La Sarre,48.8,-79.2,270.76,96,99,4.0
470,Bandarbeyla,9.49,50.81,296.92,80,9,1.5
471,Mawlaik,23.63,94.42,295.46,88,0,0.42
472,Balaka,-14.98,34.96,296.14,59,75,2.45
473,Iquique,-20.22,-70.14,291.15,68,0,6.2
474,Yerbogachën,61.28,108.01,264.76,97,76,2.29
475,Camacha,33.08,-16.33,292.15,68,75,3.2
476,Rio Pardo de Minas,-15.61,-42.54,295.63,81,85,0.77
477,Tomatlán,19.93,-105.25,300.09,83,81,2.71
